disease,foods,nutrients
Fever,"Fever – Warm soups, boiled rice, yogurt, coconut water, herbal tea","Fever – Warm soups keep the body hydrated, boiled rice is easy to digest, yogurt provides probiotics, coconut water replenishes electrolytes, herbal tea soothes the throat."
Cold,"Cold – Chicken soup, citrus fruits, honey, ginger tea, warm water","Cold – Chicken soup clears nasal passages, citrus fruits boost immunity, honey soothes the throat, ginger tea reduces inflammation, warm water prevents dehydration."
Cough,"Cough – Turmeric milk, honey, ginger, almonds, tulsi tea","Cough – Turmeric milk has antibacterial properties, honey coats the throat, ginger reduces inflammation, almonds strengthen the immune system, tulsi tea relieves congestion."
Flu,"Flu – Bone broth, garlic, green tea, berries, leafy greens","Flu – Bone broth supports immunity, garlic has antiviral properties, green tea reduces inflammation, berries are rich in antioxidants, leafy greens boost vitamin levels."
Sore throat,"Sore throat – Warm saltwater gargle, chamomile tea, soft fruits, honey, warm milk","Sore Throat – Warm saltwater gargle kills bacteria, chamomile tea soothes irritation, soft fruits are easy to swallow, honey coats the throat, warm milk reduces discomfort."
Headache,"Headache – Bananas, almonds, spinach, herbal tea, dark chocolate","Headache – Bananas provide potassium, almonds reduce inflammation, spinach has magnesium, herbal tea relaxes muscles, dark chocolate boosts serotonin."
Body ache,"Body ache – Turmeric milk, lean proteins, nuts, yogurt, bananas","Body Ache – Turmeric milk reduces inflammation, lean proteins aid muscle repair, nuts provide healthy fats, yogurt boosts digestion, bananas offer quick energy."
Runny nose,"Runny nose – Warm broth, ginger tea, citrus fruits, spicy foods, herbal teas","Runny Nose – Warm broth soothes nasal passages, ginger tea reduces congestion, citrus fruits boost vitamin C, spicy foods clear sinuses, herbal teas provide warmth."
Nasal congestion,"Nasal congestion – Garlic, spicy foods, hot soups, peppermint tea, honey","Nasal Congestion – Garlic acts as a natural decongestant, spicy foods open airways, hot soups provide hydration, peppermint tea soothes sinuses, honey fights infections."
Sinus infection,"Sinus infection – Pineapple, ginger, turmeric, warm water, citrus fruits","Sinus Infection – Pineapple reduces mucus buildup, ginger fights infections, turmeric has anti-inflammatory properties, warm water clears sinuses, citrus fruits boost immunity."
Tonsillitis,"Tonsillitis – Warm soup, soft fruits, herbal tea, yogurt, honey","Tonsillitis – Warm soup is easy to swallow, soft fruits provide vitamins, herbal tea reduces swelling, yogurt contains probiotics, honey soothes the throat."
Bronchitis,"Bronchitis – Honey, ginger tea, warm broth, citrus fruits, almonds","Bronchitis – Honey reduces throat irritation, ginger tea fights infections, warm broth keeps the throat moist, citrus fruits provide vitamin C, almonds strengthen immunity."
Pneumonia,"Pneumonia – Leafy greens, nuts, garlic, warm soups, herbal tea","Pneumonia – Leafy greens improve lung health, nuts provide essential fatty acids, garlic has antibacterial properties, warm soups aid hydration, herbal tea soothes symptoms."
Ear infection,"Ear infection – Garlic, yogurt, citrus fruits, ginger, green tea","Ear Infection – Garlic fights bacteria, yogurt provides probiotics, citrus fruits boost immunity, ginger reduces inflammation, green tea fights infections."
Allergies,"Allergies – Local honey, turmeric, green leafy vegetables, nuts, probiotic-rich foods","Allergies – Local honey reduces sensitivity to allergens, turmeric has anti-inflammatory effects, green leafy vegetables boost immunity, nuts provide omega-3, probiotics support gut health."
Asthma,"Asthma – Apples, carrots, spinach, omega-3 rich foods, ginger","Asthma – Apples improve lung function, carrots contain beta-carotene, spinach reduces inflammation, omega-3 rich foods improve breathing, ginger reduces airway constriction."
Food poisoning,"Food poisoning – Bananas, toast, boiled potatoes, rice, herbal tea","Food Poisoning – Bananas soothe the stomach, toast is easy to digest, boiled potatoes provide energy, rice prevents further irritation, herbal tea calms nausea."
Indigestion,"Indigestion – Ginger, fennel seeds, yogurt, papaya, bananas","Indigestion – Ginger speeds up digestion, fennel seeds reduce bloating, yogurt provides probiotics, papaya has digestive enzymes, bananas are easy on the stomach."
Acidity,"Acidity – Oatmeal, bananas, aloe vera juice, ginger, yogurt","Acidity – Oatmeal absorbs stomach acid, bananas reduce acid reflux, aloe vera juice soothes the digestive tract, ginger aids digestion, yogurt balances stomach bacteria."
Diarrhea,"Diarrhea – Rice, bananas, boiled potatoes, yogurt, toast","Diarrhea – Rice prevents irritation, bananas restore potassium, boiled potatoes provide energy, yogurt contains probiotics, toast is easy on digestion."
Constipation,"Constipation – Prunes, whole grains, chia seeds, leafy greens, yogurt","Constipation – Prunes contain fiber, whole grains regulate digestion, chia seeds promote bowel movement, leafy greens provide fiber, yogurt improves gut bacteria."
Stomach ache,"Stomach ache – Ginger tea, bananas, plain rice, yogurt, mint tea","Stomach Ache – Ginger tea reduces nausea, bananas soothe the stomach, plain rice is gentle on digestion, yogurt contains probiotics, mint tea relaxes stomach muscles"
Vomiting,"Vomiting – Crackers, bananas, herbal tea, coconut water, ginger","Vomiting – Crackers absorb stomach acids, bananas provide potassium, herbal tea soothes nausea, coconut water restores hydration, ginger reduces vomiting."
Skin rash,"Skin rash – Avocado, nuts, olive oil, fish, turmeric","Skin Rash – Avocado contains healthy fats, nuts provide vitamin E, olive oil reduces inflammation, fish has omega-3, turmeric fights skin irritation."
Hives,"Hives – Green tea, chamomile tea, apples, yogurt, coconut oil","Hives – Green tea reduces inflammation, chamomile tea soothes the skin, apples have antihistamines, yogurt promotes gut health, coconut oil hydrates the skin."
Chickenpox,"Chickenpox – Oatmeal, leafy greens, yogurt, coconut water, turmeric milk","Chickenpox – Oatmeal soothes itching, leafy greens boost immunity, yogurt aids digestion, coconut water keeps the body hydrated, turmeric milk fights infection."
Measles,"Measles – Oranges, papaya, carrots, spinach, yogurt","Measles – Oranges provide vitamin C, papaya boosts skin health, carrots improve immunity, spinach contains antioxidants, yogurt helps digestion."
Mumps,"Mumps – Soft foods, warm soup, yogurt, honey, herbal tea","Mumps – Soft foods are easy to eat, warm soup provides nutrition, yogurt contains probiotics, honey soothes the throat, herbal tea reduces inflammation."
Dengue,"Dengue – Papaya leaves, pomegranate, coconut water, kiwi, beetroot","Dengue – Papaya leaves boost platelet count, pomegranate prevents fatigue, coconut water maintains hydration, kiwi provides vitamin C, beetroot improves blood circulation."
Malaria,"Malaria – Lemon juice, coconut water, papaya, turmeric, herbal tea","Malaria – Lemon juice detoxifies, coconut water restores electrolytes, papaya reduces fever, turmeric fights infection, herbal tea soothes nausea"
Typhoid,"Typhoid – Boiled potatoes, porridge, yogurt, banana, soft fruits","Typhoid – Boiled potatoes provide energy, porridge is easy to digest, yogurt contains probiotics, banana prevents weakness, soft fruits provide vitamins."
Jaundice,"Jaundice – Sugarcane juice, coconut water, buttermilk, lemon juice, spinach","Jaundice – Sugarcane juice detoxifies the liver, coconut water restores electrolytes, buttermilk improves digestion, lemon juice aids liver function, spinach provides iron."
Hepatitis A,"Hepatitis A – Fresh fruits, coconut water, leafy greens, whole grains, lean protein","Hepatitis A – Fresh fruits provide hydration, coconut water flushes toxins, leafy greens boost immunity, whole grains provide energy, lean protein supports recovery."
Urinary tract infection,"Urinary tract infection – Cranberry juice, yogurt, cucumber, coconut water, blueberries","Urinary Tract Infection – Cranberry juice prevents bacteria from sticking, yogurt contains probiotics, cucumber hydrates, coconut water flushes toxins, blueberries fight infections."
Conjunctivitis,"Conjunctivitis – Carrots, spinach, papaya, almonds, citrus fruits","Conjunctivitis – Carrots improve eye health, spinach contains vitamin A, papaya boosts immunity, almonds reduce inflammation, citrus fruits provide vitamin C."
Toothache,"Toothache – Clove, garlic, yogurt, green tea, turmeric milk","Toothache – Clove has pain-relieving properties, garlic fights bacteria, yogurt contains probiotics, green tea reduces inflammation, turmeric milk relieves pain."
Gum infection,"Gum infection – Aloe vera juice, green tea, yogurt, turmeric, honey","Gum Infection – Aloe vera juice soothes gums, green tea fights bacteria, yogurt provides probiotics, turmeric reduces inflammation, honey prevents infections."
Back pain,"Back pain – Fatty fish, nuts, turmeric, spinach, ginger tea","Back Pain – Fatty fish reduces inflammation, nuts provide omega-3, turmeric relieves pain, spinach contains calcium, ginger tea improves blood circulation."
Joint pain,"Joint pain – Fatty fish, turmeric, nuts, berries, olive oil","Joint Pain – Fatty fish provides omega-3, turmeric reduces inflammation, nuts strengthen bones, berries contain antioxidants, olive oil supports joint health."
Muscle cramps,"Muscle cramps – Bananas, coconut water, spinach, nuts, yogurt","Muscle Cramps – Bananas restore potassium, coconut water hydrates, spinach contains magnesium, nuts provide healthy fats, yogurt prevents muscle fatigue."
Fatigue,"Fatigue – Whole grains, nuts, bananas, dark chocolate, green tea","Fatigue – Whole grains provide sustained energy, nuts contain healthy fats, bananas restore glycogen, dark chocolate boosts mood, green tea improves alertness."
Insomnia,"Insomnia – Warm milk, almonds, chamomile tea, oats, bananas","Insomnia – Warm milk relaxes muscles, almonds provide magnesium, chamomile tea promotes sleep, oats release melatonin, bananas contain tryptophan."
Stress,"Stress – Dark chocolate, chamomile tea, nuts, berries, yogurt","Stress – Dark chocolate boosts serotonin, chamomile tea relaxes nerves, nuts provide healthy fats, berries contain antioxidants, yogurt improves gut health."
Anxiety,"Anxiety – Green tea, dark chocolate, chamomile tea, yogurt, nuts","Anxiety – Green tea improves focus, dark chocolate releases endorphins, chamomile tea calms the mind, yogurt supports gut health, nuts provide omega-3."
Depression,"Depression – Fatty fish, dark chocolate, bananas, spinach, nuts","Depression – Fatty fish provides omega-3, dark chocolate enhances mood, bananas boost serotonin, spinach contains folate, nuts improve brain function."
Sunburn,"Sunburn – Aloe vera, cucumber, coconut water, watermelon, yogurt","Sunburn – Aloe vera cools the skin, cucumber hydrates, coconut water restores fluids, watermelon reduces inflammation, yogurt soothes irritation."
Dehydration,"Dehydration – Coconut water, cucumber, watermelon, lemon juice, buttermilk","Dehydration – Coconut water replenishes electrolytes, cucumber provides water content, watermelon hydrates, lemon juice restores minerals, buttermilk balances body fluids."
Heat stroke,"Heat stroke – Watermelon, cucumber, lemon juice, coconut water, yogurt","Heat Stroke – Watermelon cools the body, cucumber prevents dehydration, lemon juice restores salt levels, coconut water replenishes lost fluids, yogurt provides probiotics."
Ringworm,"Ringworm – Garlic, turmeric, coconut oil, yogurt, green tea","Ringworm – Garlic has antifungal properties, turmeric fights infection, coconut oil soothes the skin, yogurt strengthens immunity, green tea reduces inflammation."
Athlete’s foot,"Athlete’s foot – Garlic, yogurt, turmeric, green tea, coconut oil","Athlete’s Foot – Garlic kills fungi, yogurt contains probiotics, turmeric reduces swelling, green tea has antibacterial properties, coconut oil soothes irritation."
Abdominal Migraine,"Abdominal Migraine, Oatmeal, Banana, Ginger Tea, Yogurt, Almonds","Abdominal Migraine – Ginger reduces nausea, bananas provide easy digestion, oats stabilize blood sugar, yogurt supports gut health, chamomile tea soothes stomach muscles."
Acid Reflux,"Acid Reflux, Oatmeal, Ginger, Green Vegetables, Melons, Non-Citrus Fruits","Acid Reflux – Oatmeal absorbs excess acid, ginger reduces inflammation, bananas coat the stomach, lean meats prevent irritation, non-citrus fruits reduce acid production."
Acne,"Acne, Carrots, Green Tea, Nuts, Fatty Fish, Leafy Greens","Acne – Leafy greens detoxify the skin, fatty fish provide omega-3s to reduce inflammation, nuts supply zinc for skin healing, turmeric fights bacteria, green tea reduces breakouts."
Addison’s Disease,"Addison’s Disease, Avocado, Whole Grains, Nuts, Lean Meat, Bananas","Addison’s Disease – Lean proteins support adrenal function, sea salt balances sodium levels, whole grains provide steady energy, nuts offer healthy fats, bananas help maintain potassium."
Alcoholic Liver Disease,"Alcoholic Liver Disease, Leafy Greens, Beetroot, Green Tea, Turmeric, Garlic","Alcoholic Liver Disease – Leafy greens detoxify the liver, garlic enhances liver function, turmeric reduces inflammation, berries provide antioxidants, fatty fish support liver regeneration."
Allergic Rhinitis,"Allergic Rhinitis, Citrus Fruits, Ginger, Honey, Turmeric, Yogurt","Allergic Rhinitis – Citrus fruits boost immunity, local honey may reduce allergies, green tea has antihistamine properties, turmeric reduces inflammation, probiotic yogurt strengthens gut health."
Alopecia Areata,"Alopecia Areata, Eggs, Spinach, Salmon, Nuts, Sweet Potatoes","Alopecia Areata – Eggs provide biotin for hair growth, nuts offer zinc and selenium, spinach supplies iron, fatty fish provide omega-3s, berries contain antioxidants for scalp health."
Alzheimer’s Disease,"Alzheimer’s Disease, Berries, Fatty Fish, Nuts, Dark Chocolate, Olive Oil","Alzheimer’s Disease – Fatty fish support brain function, blueberries enhance memory, walnuts reduce inflammation, dark chocolate improves cognition, leafy greens provide brain-protective nutrients."
Amebiasis,"Amebiasis, Coconut Water, Boiled Rice, Yogurt, Garlic, Papaya","Amebiasis – Garlic fights parasites, papaya aids digestion, yogurt restores gut bacteria, coconut water prevents dehydration, boiled rice soothes the stomach."
Anemia,"Anemia, Spinach, Lentils, Red Meat, Pumpkin Seeds, Tofu","Anemia – Spinach boosts iron levels, lean red meat provides heme iron, lentils support red blood cell production, eggs provide vitamin B12, citrus fruits enhance iron absorption."
Aneurysm,"Aneurysm, Berries, Leafy Greens, Whole Grains, Nuts, Salmon","Aneurysm – Leafy greens improve circulation, fatty fish support blood vessel health, nuts provide vitamin E for vascular health, whole grains reduce cholesterol, berries strengthen blood vessels."
Angina,"Angina, Oats, Leafy Greens, Fatty Fish, Olive Oil, Nuts","Angina – Fatty fish reduce inflammation, olive oil improves heart health, nuts contain heart-healthy fats, whole grains lower cholesterol, dark chocolate supports circulation."
Ankylosing Spondylitis,"Ankylosing Spondylitis, Leafy Greens, Turmeric, Ginger, Berries, Fatty Fish","Ankylosing Spondylitis – Fatty fish reduce joint inflammation, turmeric relieves pain, nuts provide magnesium for muscle function, leafy greens strengthen bones, berries reduce oxidative stress."
Aplastic Anemia,"Aplastic Anemia, Beans, Whole Grains, Eggs, Nuts, Red Meat","Aplastic Anemia – Leafy greens provide folate, eggs offer essential proteins, beans support blood cell production, nuts provide healthy fats, citrus fruits boost iron absorption."
Appendicitis,"Appendicitis, Bananas, Rice, Toast, Boiled Potatoes, Applesauce","Appendicitis – Bananas aid digestion, yogurt prevents infections, soft rice is easy to digest, clear broth prevents dehydration, herbal teas soothe stomach pain."
Arrhythmia,"Arrhythmia, Salmon, Nuts, Leafy Greens, Whole Grains, Avocados","Arrhythmia – Bananas regulate potassium, fatty fish support heart rhythm, nuts provide magnesium, leafy greens stabilize heart function, whole grains support blood circulation."
Arteriosclerosis,"Arteriosclerosis, Olive Oil, Oats, Leafy Greens, Nuts, Berries","Arteriosclerosis – Fatty fish reduce plaque buildup, nuts provide heart-healthy fats, leafy greens lower cholesterol, berries reduce inflammation, whole grains support blood vessel health."
Asbestosis,"Asbestosis, Garlic, Ginger, Turmeric, Berries, Green Tea","Asbestosis – Turmeric reduces lung inflammation, garlic supports lung detoxification, green tea provides antioxidants, citrus fruits enhance lung function, leafy greens improve respiratory health."
Aspergillosis,"Aspergillosis, Leafy Greens, Garlic, Citrus Fruits, Yogurt, Mushrooms","Aspergillosis – Garlic has antifungal properties, turmeric reduces lung inflammation, ginger boosts immunity, citrus fruits provide vitamin C, green tea fights fungal infections."
